NAME,ONLINE_ORDER,RESERVATION_STATUS,LOCATION,REST_TYPE,CUISINES,APPROX_COST(FOR TWO PEOPLE)
Chikki'sCafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,Marathahalli,QuickBites,NorthIndianChineseMughlai,500.0
BufferiaExpress,Yes,No,EastBangalore,Delivery,NorthIndianChinese,800.0
KonarkRestaurant,Yes,No,Marathahalli,QuickBites,NorthIndianSouthIndian,200.0
SouthernSpice,Yes,No,VarthurMainRoadWhitefield,CasualDining,NorthIndianChineseBiryaniAndhra,800.0
ErivumPuliyum,Yes,No,Brookefield,QuickBites,KeralaSouthIndianSeafood,500.0
Mum?sKitchen,Yes,No,Marathahalli,Delivery,NorthIndianSouthIndian,200.0
Treat,Yes,No,Whitefield,CasualDining,NorthIndianMughlai,800.0
RayalaseemaSpices,Yes,No,Brookefield,CasualDining,AndhraSouthIndian,550.0
TheBigSpoon,Yes,No,Whitefield,CasualDining,NorthIndianMughlai,750.0
ShuknoLanka,Yes,No,Whitefield,Delivery,NorthIndianChinese,400.0
AndhraCentral,Yes,No,Marathahalli,FoodCourt,Andhra,400.0
RisaloPizzeria,Yes,No,Brookefield,QuickBites,PizzaItalianDesserts,900.0
AgnihotriCuisines,Yes,No,Marathahalli,TakeawayDelivery,ChineseNorthIndianFastFood,500.0
MadAboutChina,Yes,No,Whitefield,FoodCourt,ChineseMomos,600.0
DragonBox,Yes,No,Whitefield,Takeaway,ChineseMomos,450.0
BestInKlass,Yes,No,Whitefield,QuickBites,SouthIndian,200.0
AllShookUp,Yes,No,Marathahalli,DessertParlorBeverageShop,DessertsBeverages,300.0
GingerMint,Yes,No,Marathahalli,CasualDining,NorthIndianSouthIndianChinese,600.0
TheLittiCompany,Yes,No,Whitefield,TakeawayDelivery,Bihari,400.0
Snacks24x7,No,No,Whitefield,QuickBites,BakeryFastFood,250.0
VidyaBakery,Yes,No,Whitefield,Bakery,BakeryDesserts,500.0
DialForCake,Yes,No,Whitefield,Bakery,BakeryDesserts,500.0
DailySpecial,Yes,No,BTM,Delivery,NorthIndianSouthIndian,400.0
Annalakshmi,Yes,No,Whitefield,CasualDining,SouthIndian,400.0
HashtagKitchen,Yes,No,Marathahalli,CasualDining,NorthIndianBiryaniChinese,600.0
PunjabibyNature2.0,Yes,No,Whitefield,CasualDiningMicrobrewery,NorthIndian,1600.0
MeghanaGrand,Yes,No,Whitefield,CasualDining,BiryaniAndhra,800.0
FunjabiTimes,Yes,No,Whitefield,QuickBites,NorthIndian,300.0
TheDragonExpress,Yes,No,Whitefield,QuickBites,Chinese,200.0
Mom'sKitchen,Yes,No,Whitefield,TakeawayDelivery,NorthIndianChineseSouthIndian,250.0
NawabiZaica,Yes,No,Marathahalli,CasualDining,NorthIndianMughlaiChinese,600.0
Bageecha,Yes,No,Marathahalli,CasualDining,NorthIndianChinese,650.0
Subway,Yes,No,Whitefield,QuickBitesFoodCourt,SaladFastFood,600.0
Kaayal,Yes,No,Brookefield,CasualDining,KeralaChinese,500.0
Jade,Yes,Yes,Brookefield,CasualDining,ChineseSeafoodMomos,750.0
JuiceJunction,Yes,No,Marathahalli,Kiosk,JuicesFastFoodSouthIndianChinese,150.0
RegaleRestaurant,Yes,No,Marathahalli,QuickBites,NorthIndianChinese,350.0
FiveSpiceDining,Yes,No,Marathahalli,CasualDining,ChineseNorthIndianSouthIndian,750.0
AmburHotDumBiryani,Yes,No,Whitefield,QuickBites,Biryani,200.0
Shaan-E-Punjab,Yes,No,ITPLMainRoadWhitefield,CasualDining,NorthIndian,500.0
TheWok,Yes,No,Whitefield,FoodCourt,ChineseMomos,500.0
DelhiRestaurant,Yes,No,Whitefield,QuickBites,NorthIndianMughlaiChinese,350.0
AmoebaSportsBar,Yes,Yes,Whitefield,LoungeBar,ContinentalChinese,1000.0
MughalRestaurant,Yes,No,Brookefield,CasualDining,NorthIndianMughlaiChinese,550.0
GelatoItaliano,Yes,No,Whitefield,DessertParlorKiosk,IceCreamBakeryDesserts,200.0
MomoBites,Yes,No,Marathahalli,FoodCourt,Tibetan,350.0
KolkataFamousKathiRolls,Yes,No,Brookefield,QuickBites,ChineseRolls,150.0
HappySingh,Yes,No,Whitefield,CasualDining,ChineseNorthIndian,900.0
Decker'sLane,Yes,No,Marathahalli,QuickBites,Bengali,400.0
IndianTadka,Yes,No,Whitefield,FoodCourt,NorthIndian,700.0
Jaffa'sBiryani,Yes,No,Marathahalli,CasualDining,BiryaniNorthIndianChinese,550.0
BiryaniPark,Yes,No,Brookefield,CasualDining,NorthIndianBiryaniChineseMughlai,500.0
Sbarro,Yes,No,Whitefield,FoodCourt,Pizza,500.0
TheDiner,Yes,No,Whitefield,CasualDining,NorthIndianChineseAndhraBiryani,700.0
MasterBrothers,Yes,No,Whitefield,Bakery,DessertsBakery,450.0
ASouthernFair,Yes,No,Whitefield,CasualDining,BiryaniSeafoodSouthIndian,750.0
NashtaPani-TheGujarat'sSpecial,Yes,No,Marathahalli,QuickBites,GujaratiFastFood,200.0
